Release Date,Date Added,#P,Active Params,Total Params,Model,Link,UGI 🏆,W/10 👍,I/10 💡,Unruly,Internet,Stats,Writing,PolContro,Reg+MyScore 🏆,Reg+Int 🏆,MyScore 🏆,ASSS⬇️,SMOG⬆️,Yule⬇️,Score 🏆,Dif,Cor,Std,Foundation
7/16/2024,7/29/2024,70,70.0,70.0,meta-llama/Meta-Llama-3.1-70B-Instruct,https://huggingface.co/meta-llama/Meta-Llama-3.1-70B-Instruct,40.53,3.636363636,5.128603065,34.2,58.1,32.0,43.0,35.3,0.121,0.344,0.10,8.58,8.19,1.82,0.086,2.87,0.07,1.74,1
9/13/2024,9/15/2024,12,12.0,12.0,Nohobby/MN-12B-Siskin-v0.1,https://huggingface.co/Nohobby/MN-12B-Siskin-v0.1,40.37,9.090909091,1.906810634,57.5,10.0,30.0,52.3,52.0,0.302,0.248,0.40,7.89,7.47,1.67,0.177,2.00,0.06,1.10,0
4/4/2024,,70,70.0,70.0,NeverSleep/MiquMaid-v3-70B,https://huggingface.co/NeverSleep/MiquMaid-v3-70B,40.23,4.090909091,4.030302913,55.7,41.8,31.4,37.9,34.3,0.225,0.282,0.25,7.47,6.99,1.61,0.121,2.00,0.03,0.68,0
6/14/2024,,70,70.0,70.0,NousResearch/Hermes-2-Theta-Llama-3-70B,https://huggingface.co/NousResearch/Hermes-2-Theta-Llama-3-70B,40.10,3.181818182,5.377777778,50.8,49.6,36.7,34.7,28.7,0.217,0.368,0.15,6.43,9.49,1.49,0.077,2.73,0.04,1.15,0
5/20/2024,,70,70.0,70.0,failspy/Smaug-Llama-3-70B-Instruct-abliterated-v3,https://huggingface.co/failspy/Smaug-Llama-3-70B-Instruct-abliterated-v3,40.09,3.818181818,4.565511879,49.2,55.5,28.6,33.2,34.0,0.211,0.361,0.20,8.16,9.62,1.55,0.226,1.80,0.11,0.91,0
5/25/2024,,70,70.0,70.0,crestf411/L3-70B-daybreak-storywriter-v0.4,https://huggingface.co/crestf411/L3-70B-daybreak-storywriter-v0.4,39.94,2.727272727,6.35703008,36.7,52.0,30.0,46.5,34.7,0.193,0.357,0.25,5.18,5.94,1.72,0.206,2.33,0.23,1.41,0
8/14/2024,8/15/2024,70,70.0,70.0,sophosympatheia/New-Dawn-Llama-3.1-70B-v1.1,https://huggingface.co/sophosympatheia/New-Dawn-Llama-3.1-70B-v1.1,39.94,2.727272727,5.966648841,36.7,54.0,47.6,38.8,22.7,0.142,0.399,0.10,6.52,7.32,1.62,0.512,1.47,0.36,0.96,0
8/12/2024,8/15/2024,12,12.0,12.0,nbeerbower/mistral-nemo-gutenberg-12B,https://huggingface.co/nbeerbower/mistral-nemo-gutenberg-12B,39.75,8.181818182,2.520767904,53.3,19.3,34.8,42.3,49.0,0.148,0.252,0.10,6.03,7.09,1.80,0.167,2.33,0.12,1.73,0
3/26/2024,,16x12B,36.0,132.0,databricks/dbrx-instruct,https://huggingface.co/databricks/dbrx-instruct,39.72,5.454545455,5.100490124,68.3,26.5,16.3,41.5,46.0,0.186,0.245,0.25,9.28,7.57,2.00,0.000,2.20,NA,0.00,1
2/8/2024,,8x7B,12.9,46.7,Envoid/Fish-8x7B,https://huggingface.co/Envoid/Fish-8x7B,39.64,7.272727273,3.36419677,55.4,35.0,21.1,28.7,58.0,0.074,0.286,0.00,10.27,7.79,2.00,0.019,2.53,-0.39,0.75,0
8/14/2024,8/18/2024,12,12.0,12.0,BeaverAI/Rocinante-12B-v1a,https://huggingface.co/BeaverAI/Rocinante-12B-v1a-GGUF,39.61,8.181818182,1.684588411,70.0,11.5,34.7,38.3,43.7,0.227,0.229,0.25,5.78,6.60,1.50,0.161,1.93,0.02,0.93,0
2/6/2024,,70,70.0,70.0,Undi95/Miqu-70B-Alpaca-DPO,https://huggingface.co/Undi95/Miqu-70B-Alpaca-DPO,39.58,2.727272727,4.901474524,47.5,41.3,31.4,43.3,34.3,0.240,0.270,0.30,6.87,7.35,1.74,0.121,2.00,0.03,0.68,0
